model,roc_auc,pr_auc,precision,recall,f1
Logistic Regression,0.7722383533397332,0.4093460578812268,0.2662363856393707,0.6238185255198487,0.37319762510602206
Random Forest,0.7928300109018209,0.43174427117856123,0.3696594427244582,0.5642722117202268,0.44668911335578004
Gradient Boosting,0.7994350228985586,0.4511761093305896,0.67,0.1899810964083176,0.2960235640648012
