top_k_percent,clients_selected,response_rate,baseline_response_rate,lift,positive_responses
5,452,0.6194690265486725,0.11699657193409267,5.294762199508171,280
10,904,0.5121681415929203,0.11699657193409267,4.3776337470933635,463
20,1808,0.3567477876106195,0.11699657193409267,3.04921573096676,645
30,2712,0.275811209439528,0.11699657193409267,2.357429836447686,748
